Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
"Certain antidepressants, including tricyclics and noradrenergic reuptake inhibitors",can cause exacerbations,in bipolar disorder patients.,"Certain antidepressants, including tricyclics and noradrenergic reuptake inhibitors",can cause exacerbations,in bipolar disorder patients.,"Certain antidepressants, including tricyclics and noradrenergic reuptake inhibitors can cause exacerbations in bipolar disorder patients.",30
Bipolar disorder,starts with,an acute phase of depression or mania symptoms.,Bipolar disorder,starts with,an acute phase of depression or mania symptoms.,Bipolar disorder starts with an acute phase of depression or mania symptoms.,31
Bipolar disorder,has,a cyclical pattern of remission and relapse.,Bipolar disorder,has,a cyclical pattern of remission and relapse.,Bipolar disorder has a cyclical pattern of remission and relapse.,32
Remissions,are,often complete in bipolar disorder.,Remissions,are,often complete in bipolar disorder.,Remissions are often complete in bipolar disorder.,33
Many patients with bipolar disorder,experience,residual symptoms.,Many patients with bipolar disorder,experience,residual symptoms.,Many patients with bipolar disorder experience residual symptoms.,34
Some patients with bipolar disorder,have,a severe impairment in work functionality.,Some patients with bipolar disorder,have,a severe impairment in work functionality.,Some patients with bipolar disorder have a severe impairment in work functionality.,35
Relapses in bipolar disorder,consist of,discrete episodes with intensified symptoms.,Relapses in bipolar disorder,consist of,discrete episodes with intensified symptoms.,Relapses in bipolar disorder consist of discrete episodes with intensified symptoms.,36
Symptoms during bipolar disorder relapses,can be,"manic, depressive, hypomanic, or mixed.",Symptoms during bipolar disorder relapses,can be,"manic, depressive, hypomanic, or mixed.","Symptoms during bipolar disorder relapses can be manic, depressive, hypomanic, or mixed.",37
Episodes,can last,from a few weeks to 3 to 6 months.,Episodes,can last,from a few weeks to 3 to 6 months.,Episodes can last from a few weeks to 3 to 6 months.,38
Depressive episodes,usually last,longer than manic or hypomanic episodes.,Depressive episodes,usually last,longer than manic or hypomanic episodes.,Depressive episodes usually last longer than manic or hypomanic episodes.,39
The length of cycles,varies,among patients.,The length of cycles,varies,among patients.,The length of cycles varies among patients.,40
Some patients,experience,"infrequent episodes, with only a few over a lifetime.",Some patients,experience,"infrequent episodes, with only a few over a lifetime.","Some patients experience infrequent episodes, with only a few over a lifetime.",41
Others,suffer from,"rapid-cycling forms, defined as four or more episodes per year.",Others,suffer from,"rapid-cycling forms, defined as four or more episodes per year.","Others suffer from rapid-cycling forms, defined as four or more episodes per year.",42
A minority of patients,alternate,between mania and depression with each cycle.,A minority of patients,alternate,between mania and depression with each cycle.,A minority of patients alternate between mania and depression with each cycle.,43
In most patients,either mania or depression,predominates.,In most patients,either mania or depression,predominates.,In most patients either mania or depression predominates.,44
Lifetime incidence of suicide,in patients with,bipolar disorder is significantly higher than in the general population.,Lifetime incidence of suicide,in patients with,bipolar disorder is significantly higher than in the general population.,Lifetime incidence of suicide in patients with bipolar disorder is significantly higher than in the general population.,45
The estimated lifetime incidence of suicide in patients with bipolar disorder,is,at least 20 to 30 times greater compared to the general population.,The estimated lifetime incidence of suicide in patients with bipolar disorder,is,at least 20 to 30 times greater compared to the general population.,The estimated lifetime incidence of suicide in patients with bipolar disorder is at least 20 to 30 times greater compared to the general population.,46
A manic episode,requires,a duration of at least one week.,A manic episode,requires,a duration of at least one week.,A manic episode requires a duration of at least one week.,47
The mood during a manic episode,must be,"persistently elevated, expansive, or irritable.",The mood during a manic episode,must be,"persistently elevated, expansive, or irritable.","The mood during a manic episode must be persistently elevated, expansive, or irritable.",48
There,must be a persistent increase,in goal-directed activity or energy during a manic episode.,There,must be a persistent increase,in goal-directed activity or energy during a manic episode.,There must be a persistent increase in goal-directed activity or energy during a manic episode.,49
A manic episode,includes,at least three additional symptoms with an elevated or expansive mood.,A manic episode,includes,at least three additional symptoms with an elevated or expansive mood.,A manic episode includes at least three additional symptoms with an elevated or expansive mood.,50
If the mood,is only irritable during,"a manic episode, at least four additional symptoms are required.",If the mood,is only irritable during,"a manic episode, at least four additional symptoms are required.","If the mood is only irritable during a manic episode, at least four additional symptoms are required.",51
A hypomanic episode,is,a less extreme form of mania.,A hypomanic episode,is,a less extreme form of mania.,A hypomanic episode is a less extreme form of mania.,52
A hypomanic episode,involves,a distinct period of abnormal behavior.,A hypomanic episode,involves,a distinct period of abnormal behavior.,A hypomanic episode involves a distinct period of abnormal behavior.,53
This distinct period,lasts,for at least 4 days.,This distinct period,lasts,for at least 4 days.,This distinct period lasts for at least 4 days.,54
The behavior during a hypomanic episode,is,different from the patient's usual nondepressed behavior.,The behavior during a hypomanic episode,is,different from the patient's usual nondepressed behavior.,The behavior during a hypomanic episode is different from the patient's usual nondepressed behavior.,55
A hypomanic episode,includes,at least 3 of the symptoms associated with mania.,A hypomanic episode,includes,at least 3 of the symptoms associated with mania.,A hypomanic episode includes at least 3 of the symptoms associated with mania.,56
A major depressive episode in patients with bipolar disorder,resembles,major depression.,A major depressive episode in patients with bipolar disorder,resembles,major depression.,A major depressive episode in patients with bipolar disorder resembles major depression.,57
The episode,requires,≥ 5 specific symptoms within the same 2-week period.,The episode,requires,≥ 5 specific symptoms within the same 2-week period.,The episode requires ≥ 5 specific symptoms within the same 2-week period.,58
Depressed mood or loss of interest or pleasure,must be,one of the symptoms.,Depressed mood or loss of interest or pleasure,must be,one of the symptoms.,Depressed mood or loss of interest or pleasure must be one of the symptoms.,59
Symptoms,must occur,"nearly every day, except for suicidal thoughts or attempts.",Symptoms,must occur,"nearly every day, except for suicidal thoughts or attempts.","Symptoms must occur nearly every day, except for suicidal thoughts or attempts.",60
An episode of mania or hypomania,is classified as having mixed features,if three or more depressive symptoms are present for most days.,An episode of mania or hypomania,is classified as having mixed features,if three or more depressive symptoms are present for most days.,An episode of mania or hypomania is classified as having mixed features if three or more depressive symptoms are present for most days.,61
Diagnosing mixed features,is,often challenging in mania or hypomania.,Diagnosing mixed features,is,often challenging in mania or hypomania.,Diagnosing mixed features is often challenging in mania or hypomania.,62
Mixed features,may evolve into,a continuously cycling state.,Mixed features,may evolve into,a continuously cycling state.,Mixed features may evolve into a continuously cycling state.,63
The prognosis for mixed features,is,worse than for a pure manic or hypomanic state.,The prognosis for mixed features,is,worse than for a pure manic or hypomanic state.,The prognosis for mixed features is worse than for a pure manic or hypomanic state.,64
The risk of suicide,is,particularly high during mixed episodes.,The risk of suicide,is,particularly high during mixed episodes.,The risk of suicide is particularly high during mixed episodes.,65
You,Use,"Diagnostic and Statistical Manual of Mental Disorders, 5th ed, Text Revision criteria for mental disorder diagnosis.",You,Use,"Diagnostic and Statistical Manual of Mental Disorders, 5th ed, Text Revision criteria for mental disorder diagnosis.","You Use Diagnostic and Statistical Manual of Mental Disorders, 5th ed, Text Revision criteria for mental disorder diagnosis.",66
Measure Thyroxine (T4) and thyroid-stimulating hormone (TSH) levels,to screen for,hyperthyroidism.,Measure Thyroxine (T4) and thyroid-stimulating hormone (TSH) levels,to screen for,hyperthyroidism.,Measure Thyroxine (T4) and thyroid-stimulating hormone (TSH) levels to screen for hyperthyroidism.,67
Exclude stimulant abuse,either clinically or by,blood or urine toxicology screening.,Exclude stimulant abuse,either clinically or by,blood or urine toxicology screening.,Exclude stimulant abuse either clinically or by blood or urine toxicology screening.,68
One,Conduct,"routine laboratory tests, such as complete blood cell count and basic metabolic panel, to rule out other general medical conditions.",One,Conduct,"routine laboratory tests, such as complete blood cell count and basic metabolic panel, to rule out other general medical conditions.","One Conduct routine laboratory tests, such as complete blood cell count and basic metabolic panel, to rule out other general medical conditions.",69
Diagnosis of bipolar I disorder,necessitates,meeting the DSM-5-TR criteria for a manic episode.,Diagnosis of bipolar I disorder,necessitates,meeting the DSM-5-TR criteria for a manic episode.,Diagnosis of bipolar I disorder necessitates meeting the DSM-5-TR criteria for a manic episode.,70
Bipolar I disorder diagnosis,includes,a documented history of remission and relapse.,Bipolar I disorder diagnosis,includes,a documented history of remission and relapse.,Bipolar I disorder diagnosis includes a documented history of remission and relapse.,71
The manic episode in bipolar I disorder,may precede or follow,hypomanic episodes.,The manic episode in bipolar I disorder,may precede or follow,hypomanic episodes.,The manic episode in bipolar I disorder may precede or follow hypomanic episodes.,72
The manic episode,may precede or follow,major depressive episodes in bipolar I disorder.,The manic episode,may precede or follow,major depressive episodes in bipolar I disorder.,The manic episode may precede or follow major depressive episodes in bipolar I disorder.,73
Acute manic or hypomanic symptoms,can result from,stimulant abuse.,Acute manic or hypomanic symptoms,can result from,stimulant abuse.,Acute manic or hypomanic symptoms can result from stimulant abuse.,74
Corticosteroids or dopamine agonists treatment,may cause,acute manic or hypomanic symptoms.,Corticosteroids or dopamine agonists treatment,may cause,acute manic or hypomanic symptoms.,Corticosteroids or dopamine agonists treatment may cause acute manic or hypomanic symptoms.,75
General medical disorders such as hyperthyroidism or pheochromocytoma,may lead to,acute manic or hypomanic symptoms.,General medical disorders such as hyperthyroidism or pheochromocytoma,may lead to,acute manic or hypomanic symptoms.,General medical disorders such as hyperthyroidism or pheochromocytoma may lead to acute manic or hypomanic symptoms.,76
Patients with hyperthyroidism,usually exhibit,additional physical symptoms and signs.,Patients with hyperthyroidism,usually exhibit,additional physical symptoms and signs.,Patients with hyperthyroidism usually exhibit additional physical symptoms and signs.,77
Thyroid function testing,is advised,"for screening new patients, specifically T4 and TSH levels.",Thyroid function testing,is advised,"for screening new patients, specifically T4 and TSH levels.","Thyroid function testing is advised for screening new patients, specifically T4 and TSH levels.",78
Patients with pheochromocytoma,typically present with,marked intermittent or sustained hypertension.,Patients with pheochromocytoma,typically present with,marked intermittent or sustained hypertension.,Patients with pheochromocytoma typically present with marked intermittent or sustained hypertension.,79
Absence of hypertension,suggests,that testing for pheochromocytoma is unnecessary.,Absence of hypertension,suggests,that testing for pheochromocytoma is unnecessary.,Absence of hypertension suggests that testing for pheochromocytoma is unnecessary.,80
Mania symptoms,are less commonly caused,by other disorders.,Mania symptoms,are less commonly caused,by other disorders.,Mania symptoms are less commonly caused by other disorders.,81
Depressive symptoms,may occur in,"various disorders, as listed in the table ""Some Causes of Symptoms of Depression and Mania.""",Depressive symptoms,may occur in,"various disorders, as listed in the table ""Some Causes of Symptoms of Depression and Mania.""","Depressive symptoms may occur in various disorders, as listed in the table ""Some Causes of Symptoms of Depression and Mania.""",82
Mood stabilizers,are used in the treatment,"of bipolar disorder, such as lithium and certain antiseizure medications.",Mood stabilizers,are used in the treatment,"of bipolar disorder, such as lithium and certain antiseizure medications.","Mood stabilizers are used in the treatment of bipolar disorder, such as lithium and certain antiseizure medications.",83
A second-generation antipsychotic,may be used in the treatment,of bipolar disorder.,A second-generation antipsychotic,may be used in the treatment,of bipolar disorder.,A second-generation antipsychotic may be used in the treatment of bipolar disorder.,84
Support and psychotherapy,are integral parts of,the treatment for bipolar disorder.,Support and psychotherapy,are integral parts of,the treatment for bipolar disorder.,Support and psychotherapy are integral parts of the treatment for bipolar disorder.,85
Treatment of bipolar disorder,is divided into,"three phases: Acute, Continuation, and Maintenance or prevention.",Treatment of bipolar disorder,is divided into,"three phases: Acute, Continuation, and Maintenance or prevention.","Treatment of bipolar disorder is divided into three phases: Acute, Continuation, and Maintenance or prevention.",86
The Acute phase,aims to stabilize and control,the severe initial manifestations of bipolar disorder.,The Acute phase,aims to stabilize and control,the severe initial manifestations of bipolar disorder.,The Acute phase aims to stabilize and control the severe initial manifestations of bipolar disorder.,87
The Continuation phase,is focused on attaining,full remission of bipolar disorder symptoms.,The Continuation phase,is focused on attaining,full remission of bipolar disorder symptoms.,The Continuation phase is focused on attaining full remission of bipolar disorder symptoms.,88
The Maintenance or prevention phase,aims to keep,patients with bipolar disorder in remission.,The Maintenance or prevention phase,aims to keep,patients with bipolar disorder in remission.,The Maintenance or prevention phase aims to keep patients with bipolar disorder in remission.,89
Medications for bipolar disorder,consist of,mood stabilizers such as Lithium.,Medications for bipolar disorder,consist of,mood stabilizers such as Lithium.,Medications for bipolar disorder consist of mood stabilizers such as Lithium.,90
"Antiseizure medications valproate, carbamazepine, and lamotrigine",are used as,mood stabilizers for bipolar disorder.,"Antiseizure medications valproate, carbamazepine, and lamotrigine",are used as,mood stabilizers for bipolar disorder.,"Antiseizure medications valproate, carbamazepine, and lamotrigine are used as mood stabilizers for bipolar disorder.",91
Second-generation antipsychotics for bipolar disorder,include,Aripiprazole.,Second-generation antipsychotics for bipolar disorder,include,Aripiprazole.,Second-generation antipsychotics for bipolar disorder include Aripiprazole.,92
Lurasidone,is,a second-generation antipsychotic used for bipolar disorder.,Lurasidone,is,a second-generation antipsychotic used for bipolar disorder.,Lurasidone is a second-generation antipsychotic used for bipolar disorder.,93
Olanzapine,is prescribed as,a second-generation antipsychotic for bipolar disorder.,Olanzapine,is prescribed as,a second-generation antipsychotic for bipolar disorder.,Olanzapine is prescribed as a second-generation antipsychotic for bipolar disorder.,94
Quetiapine,serves as,a second-generation antipsychotic medication for bipolar disorder.,Quetiapine,serves as,a second-generation antipsychotic medication for bipolar disorder.,Quetiapine serves as a second-generation antipsychotic medication for bipolar disorder.,95
Risperidone,is utilized as,a second-generation antipsychotic for treating bipolar disorder.,Risperidone,is utilized as,a second-generation antipsychotic for treating bipolar disorder.,Risperidone is utilized as a second-generation antipsychotic for treating bipolar disorder.,96
Ziprasidone,is among,the second-generation antipsychotics for bipolar disorder.,Ziprasidone,is among,the second-generation antipsychotics for bipolar disorder.,Ziprasidone is among the second-generation antipsychotics for bipolar disorder.,97
Cariprazine,is also,a second-generation antipsychotic medication for bipolar disorder.,Cariprazine,is also,a second-generation antipsychotic medication for bipolar disorder.,Cariprazine is also a second-generation antipsychotic medication for bipolar disorder.,98
Electroconvulsive therapy (ECT),is used for,treatment-refractory depression.,Electroconvulsive therapy (ECT),is used for,treatment-refractory depression.,Electroconvulsive therapy (ECT) is used for treatment-refractory depression.,99
Electroconvulsive therapy (ECT),is effective for,mania.,Electroconvulsive therapy (ECT),is effective for,mania.,Electroconvulsive therapy (ECT) is effective for mania.,100
Phototherapy,treats,depressive symptoms of seasonal bipolar I or bipolar II disorder.,Phototherapy,treats,depressive symptoms of seasonal bipolar I or bipolar II disorder.,Phototherapy treats depressive symptoms of seasonal bipolar I or bipolar II disorder.,101
Phototherapy,treats,depressive symptoms of nonseasonal bipolar I or bipolar II disorder.,Phototherapy,treats,depressive symptoms of nonseasonal bipolar I or bipolar II disorder.,Phototherapy treats depressive symptoms of nonseasonal bipolar I or bipolar II disorder.,102
Phototherapy,is most useful,as augmentative therapy.,Phototherapy,is most useful,as augmentative therapy.,Phototherapy is most useful as augmentative therapy.,103
Transcranial magnetic stimulation,treats,"severe, resistant depression.",Transcranial magnetic stimulation,treats,"severe, resistant depression.","Transcranial magnetic stimulation treats severe, resistant depression.",104
Transcranial magnetic stimulation,has proven effective,in bipolar depression.,Transcranial magnetic stimulation,has proven effective,in bipolar depression.,Transcranial magnetic stimulation has proven effective in bipolar depression.,105
Support from loved ones,is essential in preventing,major episodes of bipolar disorder.,Support from loved ones,is essential in preventing,major episodes of bipolar disorder.,Support from loved ones is essential in preventing major episodes of bipolar disorder.,106
Group therapy,is recommended for,patients with bipolar disorder and their partners.,Group therapy,is recommended for,patients with bipolar disorder and their partners.,Group therapy is recommended for patients with bipolar disorder and their partners.,107
Patients and partners,learn,about bipolar disorder and its social consequences in group therapy.,Patients and partners,learn,about bipolar disorder and its social consequences in group therapy.,Patients and partners learn about bipolar disorder and its social consequences in group therapy.,108
Group therapy,educates on,the importance of mood stabilizers in treating bipolar disorder.,Group therapy,educates on,the importance of mood stabilizers in treating bipolar disorder.,Group therapy educates on the importance of mood stabilizers in treating bipolar disorder.,109
Individual psychotherapy,can assist,patients in coping with daily life challenges.,Individual psychotherapy,can assist,patients in coping with daily life challenges.,Individual psychotherapy can assist patients in coping with daily life challenges.,110
Individual psychotherapy,aids in adjusting,to a new self-identification for patients with bipolar disorder.,Individual psychotherapy,aids in adjusting,to a new self-identification for patients with bipolar disorder.,Individual psychotherapy aids in adjusting to a new self-identification for patients with bipolar disorder.,111
Bipolar disorder,is characterized by,episodes of mania and depression (bipolar I) or hypomania and depression (bipolar II).,Bipolar disorder,is characterized by,episodes of mania and depression (bipolar I) or hypomania and depression (bipolar II).,Bipolar disorder is characterized by episodes of mania and depression (bipolar I) or hypomania and depression (bipolar II).,112
Bipolar disorder,significantly impairs,work performance and social interaction.,Bipolar disorder,significantly impairs,work performance and social interaction.,Bipolar disorder significantly impairs work performance and social interaction.,113
The risk of suicide,is,significant in individuals with bipolar disorder.,The risk of suicide,is,significant in individuals with bipolar disorder.,The risk of suicide is significant in individuals with bipolar disorder.,114
Mild manic states (hypomania),"can be beneficial, leading to","increased energy, creativity, confidence, and above-normal social functioning.",Mild manic states (hypomania),"can be beneficial, leading to","increased energy, creativity, confidence, and above-normal social functioning.","Mild manic states (hypomania) can be beneficial, leading to increased energy, creativity, confidence, and above-normal social functioning.",115
The length and frequency of bipolar cycles,vary,among patients.,The length and frequency of bipolar cycles,vary,among patients.,The length and frequency of bipolar cycles vary among patients.,116
Some patients,experience,few episodes over a lifetime.,Some patients,experience,few episodes over a lifetime.,Some patients experience few episodes over a lifetime.,117
In most cycles of bipolar disorder,either mania or depression predominates,rather than alternating between the two.,In most cycles of bipolar disorder,either mania or depression predominates,rather than alternating between the two.,In most cycles of bipolar disorder either mania or depression predominates rather than alternating between the two.,118
Diagnosis of bipolar disorder,is based on,clinical criteria.,Diagnosis of bipolar disorder,is based on,clinical criteria.,Diagnosis of bipolar disorder is based on clinical criteria.,119
Stimulant use disorder and general medical disorders,must be excluded,through examination and testing.,Stimulant use disorder and general medical disorders,must be excluded,through examination and testing.,Stimulant use disorder and general medical disorders must be excluded through examination and testing.,120
Treatment for bipolar disorder,typically includes,"mood stabilizers such as lithium, valproate, carbamazepine, and lamotrigine.",Treatment for bipolar disorder,typically includes,"mood stabilizers such as lithium, valproate, carbamazepine, and lamotrigine.","Treatment for bipolar disorder typically includes mood stabilizers such as lithium, valproate, carbamazepine, and lamotrigine.",121
Second-generation antipsychotics,are also used,in treatment.,Second-generation antipsychotics,are also used,in treatment.,Second-generation antipsychotics are also used in treatment.,122
Choice of pharmacologic agents for bipolar disorders,is challenging due to,potential significant adverse effects.,Choice of pharmacologic agents for bipolar disorders,is challenging due to,potential significant adverse effects.,Choice of pharmacologic agents for bipolar disorders is challenging due to potential significant adverse effects.,123
Drug interactions,are common with,medications for bipolar disorders.,Drug interactions,are common with,medications for bipolar disorders.,Drug interactions are common with medications for bipolar disorders.,124
No medication,is,universally effective for bipolar disorders.,No medication,is,universally effective for bipolar disorders.,No medication is universally effective for bipolar disorders.,125
Selection of pharmacologic agents,should be based on,previous effectiveness and tolerability in the patient.,Selection of pharmacologic agents,should be based on,previous effectiveness and tolerability in the patient.,Selection of pharmacologic agents should be based on previous effectiveness and tolerability in the patient.,126
The choice,should consider,the patient's medical history if prior experience with medications for bipolar disorders is lacking or unknown.,The choice,should consider,the patient's medical history if prior experience with medications for bipolar disorders is lacking or unknown.,The choice should consider the patient's medical history if prior experience with medications for bipolar disorders is lacking or unknown.,127
The patient's medical history,should be evaluated,in relation to the adverse effects of the specific mood stabilizer.,The patient's medical history,should be evaluated,in relation to the adverse effects of the specific mood stabilizer.,The patient's medical history should be evaluated in relation to the adverse effects of the specific mood stabilizer.,128
The severity of symptoms,should guide,the choice of pharmacologic agents for bipolar disorders when prior experience is absent.,The severity of symptoms,should guide,the choice of pharmacologic agents for bipolar disorders when prior experience is absent.,The severity of symptoms should guide the choice of pharmacologic agents for bipolar disorders when prior experience is absent.,129
Severe manic psychosis,compromises,immediate patient safety and management.,Severe manic psychosis,compromises,immediate patient safety and management.,Severe manic psychosis compromises immediate patient safety and management.,130
Urgent behavioral control,necessitates,a sedating second-generation antipsychotic for severe manic psychosis.,Urgent behavioral control,necessitates,a sedating second-generation antipsychotic for severe manic psychosis.,Urgent behavioral control necessitates a sedating second-generation antipsychotic for severe manic psychosis.,131
A benzodiazepine,may initially supplement,"the antipsychotic for severe manic psychosis, like lorazepam or clonazepam.",A benzodiazepine,may initially supplement,"the antipsychotic for severe manic psychosis, like lorazepam or clonazepam.","A benzodiazepine may initially supplement the antipsychotic for severe manic psychosis, like lorazepam or clonazepam.",132
Reference for benzodiazepine supplementation,can be found,"in the table titled ""Benzodiazepines"".",Reference for benzodiazepine supplementation,can be found,"in the table titled ""Benzodiazepines"".","Reference for benzodiazepine supplementation can be found in the table titled ""Benzodiazepines"".",133
Lithium,is a suitable first choice for treating,less severe acute episodes of both mania and depressive episodes in patients without contraindications such as renal disorders.,Lithium,is a suitable first choice for treating,less severe acute episodes of both mania and depressive episodes in patients without contraindications such as renal disorders.,Lithium is a suitable first choice for treating less severe acute episodes of both mania and depressive episodes in patients without contraindications such as renal disorders.,134
Lithium,has,"a slow onset of action, taking 4 to 10 days to take effect.",Lithium,has,"a slow onset of action, taking 4 to 10 days to take effect.","Lithium has a slow onset of action, taking 4 to 10 days to take effect.",135
Patients with significant symptoms,may be prescribed,an antiseizure medication or a second-generation antipsychotic in addition to lithium.,Patients with significant symptoms,may be prescribed,an antiseizure medication or a second-generation antipsychotic in addition to lithium.,Patients with significant symptoms may be prescribed an antiseizure medication or a second-generation antipsychotic in addition to lithium.,136
Quetiapine,is recommended for treating,bipolar depression.,Quetiapine,is recommended for treating,bipolar depression.,Quetiapine is recommended for treating bipolar depression.,137
Cariprazine,is suggested as a treatment option,for bipolar depression.,Cariprazine,is suggested as a treatment option,for bipolar depression.,Cariprazine is suggested as a treatment option for bipolar depression.,138
Lumateperone,is an advisable medication for,bipolar depression.,Lumateperone,is an advisable medication for,bipolar depression.,Lumateperone is an advisable medication for bipolar depression.,139
Lurasidone alone,is effective for,bipolar depression.,Lurasidone alone,is effective for,bipolar depression.,Lurasidone alone is effective for bipolar depression.,140
The combination of fluoxetine and olanzapine,is effective,for bipolar depression.,The combination of fluoxetine and olanzapine,is effective,for bipolar depression.,The combination of fluoxetine and olanzapine is effective for bipolar depression.,141
Preventive treatment with mood stabilizers,is indicated,for all patients with bipolar I disorder once remission is achieved.,Preventive treatment with mood stabilizers,is indicated,for all patients with bipolar I disorder once remission is achieved.,Preventive treatment with mood stabilizers is indicated for all patients with bipolar I disorder once remission is achieved.,142
Bipolar I disorder,is defined by,the presence of at least one full-fledged manic episode.,Bipolar I disorder,is defined by,the presence of at least one full-fledged manic episode.,Bipolar I disorder is defined by the presence of at least one full-fledged manic episode.,143
Clinicians,must assess,patient adherence to the treatment if episodes recur during maintenance treatment.,Clinicians,must assess,patient adherence to the treatment if episodes recur during maintenance treatment.,Clinicians must assess patient adherence to the treatment if episodes recur during maintenance treatment.,144
